a cherry,wiśnia
a classmate,kolega z pracy
a complaint,skarga
a contest / a competition,konkurs
a disgust,niesmak
a exercise,ćwiczenie
a favour,przysługa
a grunt,chrząknięcie
a gust,poryw
a jelly,galaretka
a jellyfish,meduza
a limb,kończyna
a mussel,małża
a noise,hałas
a plant,roślina
a possession,posiadanie
a reason,powód
a recovering,odzyskanie
a recovery,poprawa
a root,korzeń
a rude boy,niegrzeczny chłopiec
a rudeness,grubiaństwo
a scream,krzyk
a snail,ślimak
a starter,przystawka
a swallow,łyk
a tempel,świątynia
able-bodied,w pełni sprawny
amazed,zdziwiony
an achievement,osiągnięcie
an agreement,umowa
an almond,migdał
an amazement,zdumienie
an excuse,wymówka
an ingredient,składnik
an insincerity,nieszczerość
an insult,zniewaga
bitter,gorzki
circumstances,okoliczności
disabled,niepełnosprawny
disgusting,obrzydliwy
exactly,dokładnie
feel insulted,czuć się obrażonym
generous,hojny
get on quite well,dobrze się dogadać
get on quite,dosyć dobrze
goodness sake,na miłość boską
Greece,Grecja
Greek,Grek / grecki
gustatory,smakowity
gusty,porywisty
I say it to them,mówię to im
I tell, them that,mówię im to
included,zawarty
insincere,nieszczery
insincerely,fałszywie
insulted,znieważony
minute,minuta
Muchin,Monachium
nowadays,dzisiaj
obvious,oczywisty
obviously,oczywiście
pour it yourself,nalej to sam
quite often,dosyć często
quite well,dość dobrze
rude,niegrzeczny
rudely,niegrzecznie
salty,słony
similar to,podobny do
sincere,szczery
sincerely,Z poważaniem
sour,kwaśny
Spain,Hiszpania
Spanish,hiszpański
sweet,słodki
the more the better,im więcej tym lepiej
to achieve,osiągać
to amaze,zadziwiać
to argue,kłócić się
to bring / brought,przynieść
to carry on,kontynuować
to decorate,dekorować
to exercise,świczyć
to possess,posiadać
to publish,opublikować
to redecorate,remontować
to rid,pozbyć się
to take up too much space,zająć za dużo miejsca
to tore off,oderwać
to treat,leczyć
venomous,jadowity
very few monks, bardzo mało mnichów
